"","x"
"1","0"
"2","1"
"3","0"
"4","0"
"5","1"
"6","1"
"7","0"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","1"
"22","0"
"23","0"
"24","0"
"25","0"
"26","1"
"27","0"
"28",NA
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","1"
"41","0"
"42","1"
"43","1"
"44","0"
"45","0"
"46","1"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","1"
"54","1"
"55","0"
"56","1"
"57","0"
"58","0"
"59","0"
"60","1"
"61","1"
"62",NA
"63","0"
"64","1"
"65","0"
"66","0"
"67","0"
"68","1"
"69",NA
"70","0"
"71","0"
"72","1"
"73","0"
"74","0"
"75","0"
"76","0"
"77",NA
"78","0"
"79","0"
"80","0"
"81","0"
"82","0"
"83","1"
"84","1"
"85","0"
"86","0"
"87","1"
"88","0"
"89","0"
"90","1"
"91","0"
"92","0"
"93","1"
"94","1"
"95","1"
"96","0"
"97","0"
"98","0"
"99","1"
"100","1"
"101","0"
"102","0"
"103","0"
"104","1"
"105",NA
"106","0"
"107","0"
"108","0"
"109","0"
"110","1"
"111","1"
"112","1"
"113","0"
"114","0"
"115","1"
"116","0"
"117","1"
"118","0"
"119","0"
"120","1"
"121","0"
"122","1"
"123","0"
"124","1"
"125","0"
"126","0"
"127",NA
"128","0"
"129","0"
"130","0"
"131","1"
"132","0"
"133","1"
"134","0"
"135","0"
"136","0"
"137","0"
"138","0"
"139","0"
"140","0"
"141","0"
"142","0"
"143","0"
"144","0"
"145","0"
"146","1"
"147",NA
"148","0"
"149","0"
"150","0"
"151","0"
"152",NA
"153","0"
"154","0"
"155","0"
"156","0"
"157",NA
"158","0"
"159","0"
"160","0"
"161","1"
"162","0"
"163","0"
"164","0"
"165","0"
"166","0"
"167","0"
"168","0"
"169","1"
"170","0"
"171","1"
"172","0"
"173","0"
"174","0"
"175","1"
"176","1"
"177","0"
"178","0"
"179","0"
"180","0"
"181","0"
"182",NA
"183","1"
"184","0"
"185","0"
"186","1"
"187","1"
"188","1"
"189","0"
"190","0"
"191","1"
"192","1"
"193","0"
"194","0"
"195",NA
"196","1"
"197","0"
"198","0"
"199","0"
"200","1"
"201","0"
"202","1"
"203","0"
"204","0"
"205","0"
"206","0"
"207","0"
"208","0"
"209","0"
"210","0"
"211","1"
"212","1"
"213","0"
"214","0"
"215",NA
"216","0"
"217","0"
"218","0"
"219","0"
"220",NA
"221","0"
"222","0"
"223","0"
"224","0"
"225","0"
"226","0"
"227","0"
"228","0"
"229","0"
"230","0"
"231","1"
"232","1"
"233","0"
"234","1"
"235","0"
"236","1"
"237",NA
"238","0"
"239","0"
"240","0"
"241","0"
"242","1"
"243","0"
"244","1"
"245","1"
"246","0"
"247","0"
"248","0"
"249","0"
"250","0"
"251","0"
"252","0"
"253","0"
"254","0"
"255","1"
"256","0"
"257","1"
"258","0"
"259","1"
"260",NA
"261","1"
"262","0"
"263","0"
"264","1"
"265","0"
"266","1"
"267","0"
"268","0"
"269","0"
"270","1"
"271","0"
"272","0"
"273","1"
"274","0"
"275","1"
"276","0"
"277","0"
"278","1"
"279","1"
